id,OF_distance_first4,OF_distance,OF_corner_pct,OF_periphery_pct,OF_immobile_pct,OF_center_pct,LD_distance_light,LD_transitions,LD_light_first4,LD_light_pct,VC_top_distance_first4,VC_top_time_first4,VC_top_distance,VC_top_time_pct,VC_top_velocity,VC_bottom_distance_first4,VC_bottom_time_first4,VC_bottom_distance,VC_bottom_time_pct,VC_bottom_velocity,VC_bottom_transitions,HP_latency,TS_frequency_climbing,TS_time_immobile,TS_latency_immobile,bw
185,920.74,3102.58,88.50,9.65,98.63,0.01,752.38,9.00,53.42,12.10,1349.75,217.04,3805.15,94.81,3.42,354.48,22.96,767.56,5.19,11.96,18.00,11.74,0,220.49,1.20,31.0
186,612.51,3365.96,86.36,4.74,91.09,1.93,230.72,8.00,160.03,14.03,1711.45,234.33,4692.66,99.53,3.99,158.64,1.07,158.64,0.09,148.58,3.00,25.65,1,134.53,1.27,28.2
187,409.44,2233.36,25.01,9.96,92.45,42.76,145.53,5.00,91.16,7.60,731.82,228.99,2765.45,97.27,2.40,93.81,1.87,285.27,1.97,18.81,8.00,9.10,0,100.77,6.87,30.8
188,1508.33,4359.15,66.59,15.82,74.01,2.30,4014.50,45.00,98.60,41.97,1627.08,129.72,4722.18,40.16,9.72,1352.32,110.18,5434.16,59.83,8.28,107.00,14.70,0,139.14,8.34,17.9
189,1799.71,6838.41,43.35,15.91,79.24,1.65,3694.89,30.00,129.56,54.18,1578.91,146.71,6117.43,56.46,9.34,1161.16,79.31,5096.84,42.37,10.60,58.00,14.90,0,68.07,2.20,22.5
190,1708.28,6712.28,50.74,13.17,85.12,1.38,3171.89,44.00,70.94,30.80,2231.19,148.11,7544.21,66.44,9.73,1252.92,70.94,5105.83,31.81,14.38,116.00,4.40,4,40.31,1.13,22.6
191,1962.93,8587.96,47.80,20.43,72.47,2.43,6510.82,69.00,139.27,55.59,3106.59,144.84,11005.70,64.88,14.60,2327.23,95.16,7345.21,35.12,17.40,79.00,6.42,0,35.57,0.60,23.1
192,1982.39,6464.43,41.37,4.70,83.43,2.30,2564.73,36.00,73.37,22.88,1928.37,163.80,5831.21,78.33,6.54,1280.56,76.20,2928.50,21.67,11.60,79.00,11.60,0,123.52,4.54,24.4
201,1086.21,8417.57,39.33,18.90,72.63,4.60,5993.51,68.00,133.73,53.88,1915.30,149.68,7383.40,53.06,12.26,828.50,70.44,5994.35,45.29,11.81,62.00,7.64,2,169.90,2.47,26.7
202,2137.55,9264.58,45.71,15.57,52.49,2.09,5611.43,36.00,86.05,55.11,835.74,103.87,5436.42,46.67,9.79,1247.85,136.13,5955.82,53.33,9.46,70.00,5.13,0,32.50,7.01,27.1
203,1510.78,7452.53,36.34,7.90,75.41,5.65,5437.68,52.00,205.67,67.30,1535.70,176.07,8404.69,62.46,11.69,1112.38,63.83,6270.89,37.53,14.46,97.00,8.81,1,92.09,0.73,25.9
204,1003.25,3969.20,41.30,11.41,94.54,0.90,1012.03,21.00,79.68,13.76,917.29,222.82,3899.28,90.10,3.68,252.22,17.18,1411.21,9.90,15.19,16.00,8.94,0,160.89,0.27,26.7
205,1394.28,7659.21,46.67,1.60,77.18,1.63,1953.73,25.00,93.43,25.48,1334.47,207.77,5538.32,97.31,4.90,425.44,26.56,425.44,2.21,16.04,9.00,8.14,0,83.82,11.95,23.2
