id,OF_distance_first4,OF_distance,OF_corner_pct,OF_periphery_pct,OF_immobile_pct,OF_center_pct,LD_distance_light,LD_transitions,LD_light_first4,LD_light_pct,VC_top_distance_first4,VC_top_time_first4,VC_top_distance,VC_top_time_pct,VC_top_velocity,VC_bottom_distance_first4,VC_bottom_time_first4,VC_bottom_distance,VC_bottom_time_pct,VC_bottom_velocity,VC_bottom_transitions,HP_latency,TS_frequency_climbing,TS_time_immobile,TS_latency_immobile,bw
1,1367.31,5711.15,58.45,5.53,82.75,3.39,2666.51,33.00,102.03,52.23,1441.69,111.48,3822.80,31.44,10.48,1256.00,128.52,5707.48,68.56,8.28,72.00,6.55,10,86.29,1.94,26.0
4,2598.86,12728.03,55.86,8.16,58.21,1.54,7195.21,45.00,104.00,56.50,1863.56,127.19,8709.12,58.95,12.67,1230.10,98.39,6448.69,39.85,14.57,88.00,6.30,0,99.10,0.47,20.8
5,2343.81,11179.11,31.82,2.66,63.22,5.93,6111.97,28.00,106.73,55.17,2491.35,145.41,7242.45,48.71,12.15,1482.71,94.59,7247.97,51.29,12.54,139.00,4.93,0,139.74,2.40,30.1
6,1146.52,7113.21,34.59,13.86,64.11,5.94,2703.62,32.00,87.29,40.66,976.24,156.58,4403.71,40.15,9.62,750.82,83.42,6037.62,59.85,9.20,41.00,4.45,23,18.95,0.60,24.8
7,704.52,4117.87,30.35,8.49,94.25,6.58,1804.32,32.00,67.43,31.90,1417.20,139.01,5278.58,71.16,6.45,822.48,100.73,2375.54,28.81,6.94,33.00,7.17,0,238.64,0.07,31.7
8,1710.87,6438.34,47.34,4.68,86.06,3.02,2178.14,26.00,89.98,35.24,1677.20,130.00,4514.51,68.16,5.99,1424.76,110.00,3257.83,31.84,8.29,49.00,7.09,0,65.87,0.47,34.2
9,1733.32,7533.69,49.54,6.26,70.96,6.52,2716.46,31.00,131.06,30.08,1896.85,177.27,6578.03,67.84,8.09,816.58,62.73,3669.20,32.16,10.22,58.00,7.01,25,18.82,0.73,24.6
10,1355.29,4551.67,30.31,1.75,93.13,4.43,1530.46,33.00,80.45,27.82,1363.87,239.27,4606.28,92.02,4.20,26.31,0.73,1038.29,7.98,15.90,15.00,12.74,0,89.82,4.00,34.5
11,1364.86,5597.93,56.00,11.60,72.44,0.95,2215.02,13.00,62.90,35.19,1467.80,185.98,5303.82,75.27,5.88,621.52,54.02,2823.43,24.73,11.63,26.00,2.62,0,83.22,0.73,26.3
13,387.99,2588.24,89.68,4.49,97.99,1.24,114.48,26.00,197.83,16.49,,,,,,,,,,,,6.49,0,96.70,0.13,36.2
14,2537.07,7989.42,61.92,12.67,74.58,1.13,3431.64,35.00,129.66,49.15,1970.06,104.46,3901.51,22.43,13.31,2120.83,135.54,6687.43,77.57,8.17,36.00,6.46,1,166.03,0.40,30.6
15,1748.08,3435.74,73.73,3.71,93.95,0.81,677.34,17.00,,,1234.43,176.84,5592.50,67.94,7.05,900.97,63.16,4163.93,32.06,11.91,72.00,3.18,4,108.64,0.33,33.2
16,2441.68,10409.59,48.08,11.29,69.68,1.52,5155.36,20.00,139.33,52.36,1917.59,139.40,7546.69,55.21,12.02,1501.36,100.60,5825.06,44.79,11.88,68.00,8.94,0,88.15,0.67,29.8
17,791.18,3659.83,55.29,5.62,96.20,3.55,1880.96,19.00,27.49,42.63,1164.39,217.31,4231.54,88.35,4.31,164.18,22.69,1048.52,11.65,10.47,25.00,5.31,0,174.97,0.07,30.1
18,1390.02,7924.93,50.61,12.29,73.28,1.35,4744.31,7.00,74.44,57.55,1808.17,183.62,5686.45,53.77,9.10,762.35,56.38,4824.78,46.23,10.06,75.00,4.84,0,31.56,0.27,29.3
19,1161.18,5522.86,54.42,11.54,72.38,1.90,2811.54,21.00,30.66,50.49,1222.02,146.78,4393.15,71.63,5.42,1029.26,93.22,2893.12,28.37,9.19,32.00,4.44,0,202.34,0.07,35.2
20,725.39,2894.87,61.37,9.30,93.52,6.13,3114.44,21.00,23.72,51.67,843.77,153.48,3803.73,68.54,4.78,618.30,86.52,2206.25,31.46,6.01,10.00,8.12,0,266.00,0.33,31.5
21,794.36,2876.95,36.47,4.14,97.44,3.78,2265.76,21.00,107.47,41.93,1649.49,207.37,4840.47,74.73,5.59,458.77,32.63,2373.67,25.27,8.73,38.00,15.64,0,235.17,0.27,36.4
22,1118.85,4262.72,49.15,9.49,93.35,1.30,2991.71,43.00,111.31,59.68,1749.61,200.59,5370.47,85.46,5.46,642.31,39.41,1785.25,14.54,11.00,42.00,8.14,0,84.02,16.02,24.6
23,956.99,5731.49,47.34,26.12,80.94,1.30,3228.42,20.00,82.48,46.39,1422.34,170.36,4950.98,56.54,7.75,846.35,69.64,4623.70,43.46,10.03,43.00,6.43,0,97.10,0.20,32.7
24,1480.59,5825.35,31.18,2.46,85.67,2.66,3419.81,32.00,107.07,56.45,1415.54,123.98,3431.91,29.08,10.44,1397.03,111.61,5464.05,70.55,7.55,46.00,3.85,0,113.38,1.07,28.3
25,1623.18,6060.55,51.49,1.06,85.02,1.56,3368.75,34.00,182.75,54.15,1852.17,148.98,6756.51,79.47,7.88,1450.25,73.31,2918.70,19.05,12.38,38.00,7.09,0,96.23,0.93,31.8
26,1298.73,4156.34,31.26,3.02,94.02,0.61,985.21,44.00,0.50,19.08,1028.94,114.05,2911.81,50.36,4.79,1209.15,125.95,3180.35,49.64,6.21,40.00,4.51,0,188.12,0.13,32.7
27,1355.63,6896.17,47.68,6.40,85.32,4.38,3612.45,12.00,45.91,43.02,1348.12,137.57,5934.28,60.27,8.48,1187.13,102.43,4341.89,39.73,9.19,56.00,3.88,0,152.82,0.27,31.2
28,1844.43,7334.43,53.42,14.72,80.24,1.90,3087.00,9.00,49.32,53.08,1280.27,135.56,5707.20,48.14,9.98,823.19,104.44,5537.72,51.86,10.05,75.00,6.70,0,152.09,0.47,38.2
31,1530.96,5672.71,61.21,18.88,79.47,1.45,4837.56,44.00,142.78,60.01,1771.04,132.26,7640.59,61.75,10.66,1693.77,107.74,5934.29,38.25,13.56,84.00,6.11,0,10.61,0.67,28.6
32,786.58,5355.94,58.57,14.55,89.51,1.28,3712.47,27.00,97.56,41.87,1169.64,233.09,3680.68,54.55,6.01,74.42,0.43,3090.16,44.91,42.10,47.00,5.90,0,127.53,0.80,30.0
33,1648.76,5195.97,52.17,3.84,91.62,5.98,1965.88,7.00,57.82,20.99,1898.32,174.97,6133.98,79.85,6.55,931.60,65.03,2516.62,20.15,10.34,28.00,7.98,0,67.40,5.41,31.1
34,1489.10,7851.90,43.01,13.87,78.85,5.78,3455.10,21.00,29.36,42.23,1779.80,215.71,6281.36,97.65,5.45,123.26,11.58,162.90,1.29,19.58,21.00,6.27,0,153.09,0.53,34.1
35,1373.77,5183.80,52.15,12.59,89.35,2.84,3195.25,5.00,108.61,53.98,1431.08,230.39,5887.90,98.21,5.03,149.69,5.44,302.41,1.44,17.12,34.00,10.79,0,57.06,13.15,34.9
36,1258.97,5440.74,46.17,24.24,84.84,1.46,2583.32,42.00,90.82,32.40,1348.14,205.33,5346.28,81.83,5.49,713.22,34.67,3113.19,18.17,15.26,37.00,2.84,0,82.55,2.87,32.0
37,771.72,3018.86,86.51,7.88,97.38,1.62,110.42,47.00,10.78,1.26,871.76,207.87,2612.95,97.14,2.30,102.17,17.82,168.40,1.67,29.76,4.00,3.14,0,103.44,2.20,32.6
38,910.47,4725.10,32.11,9.95,93.28,3.50,4018.47,44.00,126.55,62.76,901.66,205.13,4289.04,97.09,3.73,124.31,34.87,124.31,2.91,21.17,3.00,6.17,0,74.07,3.14,27.4
39,1461.46,6593.31,35.69,3.99,84.43,4.64,2035.67,24.00,43.88,18.94,1750.08,224.35,6094.82,92.80,5.79,271.70,14.61,1202.36,7.11,11.85,20.00,4.82,0,104.10,0.27,40.3
40,2098.19,9741.76,50.58,5.14,71.89,1.60,6097.89,51.00,116.11,59.52,2557.00,153.91,8966.30,59.29,12.81,1534.20,86.09,6254.90,40.71,13.20,53.00,5.33,0,133.00,2.07,25.0
41,475.97,1895.46,36.11,61.13,99.40,0.02,116.84,37.00,206.54,17.21,534.90,239.90,2094.11,98.13,1.82,7.60,0.10,235.50,1.87,62.08,6.00,5.09,0,130.40,1.47,31.3
42,1390.39,5056.32,48.95,0.85,91.77,1.47,3279.04,14.00,95.99,55.84,1341.06,209.81,3659.38,53.77,5.67,521.24,30.19,3438.50,46.23,8.44,76.00,4.74,0,29.16,6.54,34.8
43,1139.94,6132.28,57.25,24.81,85.06,2.10,5030.68,54.00,118.69,33.70,2660.97,174.50,8575.14,79.58,9.45,933.33,65.50,4312.16,20.42,18.00,53.00,6.53,0,155.82,0.13,33.8
44,1245.97,5267.62,52.77,22.85,89.43,1.81,2982.51,8.00,12.41,37.78,1221.89,151.82,4845.77,51.05,8.04,717.66,88.18,4706.40,48.95,8.69,86.00,5.72,0,56.32,3.47,36.3
45,1385.76,5087.04,55.59,8.12,92.45,2.36,2226.49,21.00,73.44,30.49,1132.57,61.45,3212.93,28.31,9.44,1434.88,172.74,4972.52,71.20,5.92,39.00,5.32,0,133.93,4.74,34.8
46,2628.46,8763.06,49.58,11.48,75.42,2.18,3362.49,44.00,65.73,30.71,2012.21,130.29,8344.43,56.34,12.37,1820.92,109.71,6052.37,43.66,12.03,96.00,11.60,0,153.15,0.13,35.1
47,1172.16,5339.55,38.37,2.44,90.33,3.14,2079.91,5.00,99.33,40.02,1587.63,208.07,4710.66,67.51,6.32,533.57,31.93,2674.07,32.49,10.00,117.00,5.63,0,174.57,0.07,36.3
48,2185.80,5199.79,47.36,12.99,88.25,1.54,3513.31,20.00,91.59,43.80,2057.47,158.06,5050.89,61.89,6.95,1336.01,81.94,3853.74,38.11,8.79,59.00,7.84,0,91.96,5.14,28.0
49,1995.39,7041.80,40.63,2.45,85.68,1.89,2237.97,30.00,182.61,45.93,1735.64,230.16,4703.45,83.06,4.65,131.04,9.84,1458.77,16.94,8.58,12.00,7.75,,,,35.2
50,1945.28,6982.21,46.54,17.22,82.01,5.03,4277.69,36.00,99.09,40.86,1942.81,156.45,5953.81,52.96,9.26,1114.69,83.55,4957.74,47.04,9.18,57.00,5.67,0,174.44,0.07,39.3
51,1819.76,6487.24,57.07,1.25,82.65,1.86,3048.95,45.00,89.76,49.23,1699.31,96.42,7082.78,56.76,11.01,2450.93,143.58,6744.45,43.24,12.88,106.00,2.45,0,110.24,0.60,30.2
52,1290.58,4571.69,36.08,23.37,93.67,1.06,2665.64,26.00,137.94,40.43,1302.39,108.38,4768.45,51.55,8.01,907.94,70.66,3960.26,43.37,8.34,48.00,13.94,0,152.82,0.40,34.6
53,422.72,4223.01,67.26,3.85,96.19,1.36,1374.37,13.00,109.41,27.71,1459.40,218.04,5184.67,88.41,4.92,251.86,10.28,1119.90,10.62,11.05,19.00,6.28,0,233.77,0.07,43.6
54,1159.73,7022.12,27.81,1.98,85.63,5.81,4704.04,30.00,124.92,66.61,1169.75,216.11,5033.17,97.40,4.37,250.45,11.11,316.91,1.53,29.91,6.00,6.72,0,162.43,0.20,31.5
55,1379.85,4637.97,47.32,23.93,64.18,1.81,3296.77,33.00,46.51,37.62,1957.03,120.39,3179.55,21.02,10.71,1508.76,110.10,5190.68,78.19,6.38,29.00,5.85,0,197.13,2.07,30.0
56,2179.63,7747.14,28.98,2.62,79.95,5.53,4301.58,35.00,124.52,51.75,2278.40,167.09,5730.06,50.85,9.17,1529.17,72.91,5318.94,49.15,10.17,50.00,18.92,2,109.38,1.80,42.7
57,2133.88,8102.32,46.37,17.49,79.57,2.94,2285.75,26.00,177.81,33.32,1958.68,156.18,4190.67,34.36,9.31,1231.57,83.82,4972.16,65.64,7.69,53.00,8.18,0,75.74,5.54,38.0
58,1738.91,6457.05,31.75,12.93,65.42,2.37,2737.58,26.00,98.23,40.54,1210.96,132.69,4511.00,60.29,6.37,1375.41,107.27,4350.14,39.71,9.03,44.00,12.03,33,10.08,0.40,20.8
59,2982.08,15891.94,33.42,9.49,40.89,2.76,3651.57,47.00,50.44,32.34,1853.87,115.51,6575.42,50.12,11.00,1914.45,115.78,6983.12,49.16,12.21,118.00,8.00,59,56.19,3.00,17.4
60,1097.10,4986.50,41.03,16.15,81.46,4.76,796.22,9.00,,,1258.04,232.93,4286.87,98.16,3.73,134.48,7.07,469.29,1.84,21.89,24.00,10.47,0,119.59,5.87,18.6
61,1401.11,4374.83,57.45,18.77,88.30,1.66,1046.39,10.00,74.00,13.86,1253.03,140.03,4899.39,62.99,6.72,1007.02,99.97,3856.78,37.01,9.72,53.00,9.97,0,219.22,0.07,27.0
62,1080.81,5295.06,44.04,6.40,84.22,3.72,3146.13,32.00,68.13,43.00,1613.45,147.44,5145.27,61.37,7.09,1153.77,92.56,4303.53,38.63,9.42,67.00,5.58,0,206.41,0.07,20.1
63,1900.89,6314.20,41.91,9.12,80.65,4.10,2130.85,48.00,120.51,27.56,1833.24,172.17,5796.49,76.15,6.50,1005.94,67.83,2986.24,23.85,10.44,38.00,10.52,0,114.45,0.13,18.8
64,1266.20,4214.91,75.30,15.07,91.85,1.28,2583.58,46.00,113.88,40.42,1344.89,203.23,4202.35,79.07,4.41,510.98,36.77,2896.68,20.93,12.91,47.00,10.51,0,159.49,0.33,20.3
65,2210.09,9674.93,33.37,12.60,71.27,3.26,4120.58,28.00,83.25,44.56,2464.00,175.11,8995.44,61.41,12.24,1179.89,64.89,6733.10,38.59,14.80,93.00,5.83,0,168.03,0.53,20.2
66,1529.91,7828.20,42.15,22.83,67.34,3.35,1993.02,29.00,44.78,31.96,3190.61,200.99,10347.71,69.09,12.35,509.73,39.01,5748.76,30.91,15.79,129.00,12.87,0,31.36,26.56,20.9
67,1203.99,5880.23,33.43,14.11,83.14,6.35,1859.00,43.00,72.04,28.90,1466.50,219.18,3924.60,98.23,3.47,83.93,1.37,85.16,0.15,56.10,3.00,9.68,0,60.93,14.28,16.2
68,1470.99,8638.37,40.51,13.92,38.09,2.67,3531.39,18.00,136.86,84.17,2156.50,137.40,9036.57,60.06,12.71,1687.44,102.60,6679.07,39.94,14.16,88.00,6.64,9,116.52,1.00,20.6
69,987.51,5488.83,57.91,7.86,86.30,3.00,2277.25,12.00,109.04,21.18,1598.17,182.51,6326.26,77.05,6.96,852.28,57.49,3137.05,22.95,11.46,48.00,10.60,0,100.57,4.74,21.9
70,1638.15,6478.36,32.99,7.88,80.97,7.34,2917.51,21.00,140.54,50.03,1714.33,108.74,4807.14,41.44,9.94,1712.12,131.26,5963.84,58.56,8.81,89.00,12.14,0,104.10,2.00,19.8
71,1126.38,6910.20,46.91,24.21,74.69,2.97,3022.33,36.00,80.51,44.79,1360.75,160.82,8243.82,73.37,9.77,1035.38,79.18,4193.61,26.63,13.95,71.00,7.65,0,93.29,0.93,22.4
72,630.70,3773.67,60.23,9.02,93.84,0.99,3201.36,49.00,51.64,47.68,1164.68,73.27,6126.46,49.00,11.70,1228.59,166.73,4691.68,51.00,8.36,40.00,8.12,4,50.18,0.60,19.2
73,986.18,4792.67,53.13,13.14,80.27,4.13,2935.48,34.00,159.55,50.99,1408.98,183.74,6385.76,80.42,7.03,1076.45,56.26,3423.33,19.58,15.49,33.00,12.54,0,82.42,0.73,21.0
74,1825.49,5749.46,37.15,8.98,84.97,1.94,2694.74,34.00,132.43,54.30,1525.90,184.84,4030.91,81.67,4.82,655.78,54.45,2104.95,18.27,11.96,22.00,13.65,0,34.57,2.34,20.8
75,2057.96,8326.55,47.19,16.80,72.14,1.31,5428.83,20.00,130.20,57.04,2160.01,157.95,6467.10,52.10,10.67,1216.87,82.05,4807.86,47.90,9.43,105.00,7.01,7,62.53,16.42,23.9
76,1119.91,4548.93,53.14,11.16,87.57,4.87,1821.41,30.00,82.41,54.32,1496.64,179.81,4150.79,85.03,4.57,916.47,54.75,2544.85,14.51,16.68,39.00,3.80,0,164.56,5.34,20.8
77,1265.19,4929.24,50.06,7.66,86.22,1.83,2211.25,35.00,134.97,38.12,1378.29,150.94,4725.18,74.41,5.93,1155.06,89.06,2934.42,25.59,10.07,64.00,11.23,5,138.00,1.07,18.5
78,1761.40,5991.91,47.87,2.09,82.11,6.09,1762.73,18.00,6.54,26.41,1575.49,165.50,6627.07,71.09,8.21,1033.32,74.50,4048.07,28.91,12.28,81.00,8.74,0,128.73,0.47,25.2
79,1714.09,8145.03,43.80,10.91,74.70,2.39,3652.18,8.00,90.26,55.76,1544.60,119.78,4743.64,75.35,6.15,1158.08,89.19,3235.47,22.07,13.96,48.00,8.11,2,61.86,0.07,22.4
80,1381.82,6203.10,45.82,9.79,80.57,3.51,4109.84,25.00,103.37,45.84,1615.56,127.89,5172.93,60.72,8.03,1640.54,112.11,4473.80,39.28,9.64,61.00,5.42,0,138.74,5.34,21.1
82,1605.40,6105.70,69.08,2.04,84.51,0.99,3255.82,47.00,94.99,49.76,2006.09,175.30,5369.03,67.76,6.44,1026.75,64.70,3913.51,32.24,11.66,38.00,5.83,0,55.79,1.94,25.8
83,1109.38,4924.26,67.44,19.14,91.90,0.52,467.37,28.00,57.79,5.31,1340.18,231.96,5190.91,93.92,4.65,171.56,8.04,1179.55,6.08,19.23,10.00,8.58,0,150.62,5.01,25.3
84,1881.26,4156.95,59.98,25.38,88.25,1.03,4215.50,34.00,101.23,46.91,1074.34,147.15,2267.95,38.85,10.71,847.55,91.22,3864.87,61.01,6.95,27.00,3.81,1,43.78,5.54,20.9
85,1738.31,7866.47,37.52,2.76,72.96,5.71,3577.32,22.00,64.20,45.72,1263.13,94.89,6268.93,48.65,10.91,1581.14,144.87,6642.57,51.33,11.25,93.00,3.53,0,82.48,0.20,21.9
86,1778.03,4794.56,68.84,10.70,87.43,1.22,2430.25,29.00,61.93,25.40,1395.60,156.95,5253.27,75.50,5.94,1219.62,56.99,3617.18,22.33,14.67,43.00,2.63,0,112.85,3.07,20.6
87,535.76,3816.82,53.27,10.67,96.56,2.16,1296.61,5.00,100.70,21.06,1874.05,147.07,6961.86,67.51,8.84,1764.14,92.79,5647.19,32.47,15.09,134.00,7.32,0,60.66,2.87,20.1
88,1723.78,7064.82,44.33,9.54,83.80,3.43,224.98,9.00,123.42,10.80,1161.74,239.80,3850.45,99.98,3.26,24.97,0.20,24.97,0.02,124.74,1.00,5.61,0,138.41,1.13,40.9
89,1048.18,5160.51,29.14,18.46,90.59,4.93,4368.59,28.00,83.18,64.29,1654.00,164.66,7120.58,73.59,8.19,1069.00,75.34,3836.15,26.41,12.28,31.00,6.71,0,21.62,3.67,33.0
92,1315.30,5077.56,49.98,14.04,94.24,3.38,717.68,12.00,56.89,9.62,1972.85,154.58,5590.90,70.62,6.95,1096.59,85.42,3051.87,29.38,8.67,58.00,8.31,0,198.20,0.27,34.3
93,1305.49,4852.84,45.13,7.41,88.10,2.58,3271.41,17.00,64.66,62.47,1421.07,124.42,6302.62,69.50,7.87,1059.10,115.58,3217.45,30.50,9.34,45.00,13.41,1,116.85,0.80,23.5
94,1079.13,5495.60,62.48,14.75,89.92,0.46,3750.54,21.00,72.67,46.67,1388.06,165.03,5520.05,61.11,7.56,733.64,74.97,3573.98,38.89,8.49,52.00,2.41,0,139.41,2.34,32.3
95,862.00,4747.14,53.54,20.53,91.99,0.67,2172.42,25.00,123.75,26.84,1247.32,135.93,3748.99,49.22,6.27,1114.23,104.07,3757.25,50.78,6.98,30.00,21.91,0,174.11,0.20,29.4
96,1113.57,4755.60,44.28,19.32,92.07,2.26,2882.33,21.00,92.16,46.12,1236.93,113.87,3430.92,47.62,6.58,1176.28,125.69,3476.51,52.34,5.72,27.00,6.87,0,88.89,0.20,37.5
97,1271.95,4827.55,52.91,8.62,90.42,1.05,2527.72,21.00,48.07,34.80,643.81,223.18,2739.75,95.74,2.44,318.91,16.82,681.90,4.26,12.84,10.00,6.75,0,121.32,0.53,33.9
98,2237.56,9304.19,46.52,13.28,59.87,2.91,6210.35,73.00,70.23,42.62,2216.88,129.96,8396.41,52.46,13.66,1806.11,98.59,6742.22,46.59,12.64,86.00,5.54,0,51.25,1.20,23.7
99,2539.13,7910.86,34.46,17.60,79.10,2.65,3228.17,35.00,76.27,32.97,2054.77,146.47,5841.43,74.38,7.06,1726.57,93.53,3719.82,25.62,12.01,58.00,9.35,3,110.98,0.13,19.9
100,1320.32,5447.90,42.13,7.94,85.87,6.52,3874.70,6.00,90.62,55.11,1654.32,156.75,5069.27,62.85,6.87,1297.15,72.57,3963.90,36.26,10.37,53.00,8.76,0,169.24,0.53,25.1
101,1178.07,6748.26,57.96,18.48,81.71,0.97,4215.46,46.00,71.74,39.96,2495.86,220.88,9896.21,72.81,11.47,175.22,19.12,3806.04,27.19,13.16,72.00,5.40,0,150.75,3.60,33.6
102,1386.93,5455.78,50.90,6.89,88.05,1.52,2603.12,22.00,61.96,41.64,1306.87,134.93,5648.89,78.44,6.30,1177.77,90.29,2889.81,20.33,12.39,58.00,9.56,0,97.83,1.60,24.6
103,1637.09,6243.93,52.21,7.25,70.33,1.39,2361.54,21.00,48.31,24.81,2334.01,175.51,6383.61,47.65,11.38,1065.94,64.49,6161.44,52.35,11.04,93.00,6.08,0,64.33,0.40,21.0
104,1614.76,7984.47,45.28,5.84,74.87,3.68,3600.37,21.00,61.72,41.78,1839.96,203.80,8170.74,85.09,8.12,395.36,36.20,2129.75,14.91,13.76,28.00,4.20,1,140.47,1.67,20.9
105,1852.61,6552.02,34.10,8.99,83.78,7.79,2295.70,52.00,117.28,32.65,1615.75,203.53,4839.82,84.73,4.99,647.99,35.70,2178.29,15.21,14.12,26.00,7.79,0,102.10,0.27,20.2
106,1738.19,6811.78,57.93,21.85,76.55,1.27,4291.20,36.00,104.97,42.72,1704.71,125.23,6419.70,68.46,8.28,1450.21,101.36,4004.78,30.42,11.01,102.00,4.07,0,162.83,2.47,21.4
107,1753.47,7769.01,41.21,5.69,73.80,4.95,223.86,25.00,148.55,13.25,1450.85,232.66,5639.60,91.26,5.20,201.20,7.34,1518.89,8.74,16.45,34.00,10.21,0,120.72,0.67,24.4
108,2326.84,8099.28,52.83,11.06,67.48,4.52,4207.44,34.00,76.54,33.66,2149.88,115.18,10343.52,62.94,14.15,1877.48,124.82,6207.25,37.06,13.93,153.00,7.21,0,126.33,0.93,40.8
109,1847.11,9033.99,51.94,22.43,62.76,2.69,3573.46,43.00,42.64,26.36,1200.31,215.44,5212.24,84.05,5.23,120.90,24.56,1967.59,15.95,13.59,18.00,7.20,0,122.86,23.49,34.0
110,1794.99,6226.77,25.09,15.52,88.50,6.45,3283.37,33.00,103.50,41.57,2271.98,135.20,7962.25,70.40,9.99,1502.73,104.47,3616.71,29.57,10.41,78.00,6.49,0,150.55,2.47,39.5
111,1235.85,5022.26,39.21,15.88,89.57,4.14,3564.90,32.00,97.96,42.00,1227.41,191.69,4760.34,71.19,5.61,859.58,48.31,3580.72,28.81,11.99,50.00,7.62,0,188.86,0.13,26.1
112,1040.17,4105.74,40.35,21.54,91.41,2.05,2148.24,20.00,10.68,27.41,1229.93,178.61,4343.52,52.71,6.97,853.65,61.39,3912.38,47.29,7.76,66.00,4.96,2,94.36,5.27,29.2
113,868.49,3637.07,50.33,22.43,93.41,1.01,117.11,6.00,14.55,1.21,1136.54,159.59,3653.18,49.76,6.36,647.94,80.41,3568.23,50.24,6.62,48.00,4.19,0,22.49,6.27,36.8
114,834.16,4975.53,47.20,9.27,92.69,3.17,1489.25,18.00,97.63,22.06,1343.13,201.66,4804.21,87.30,4.65,666.21,34.67,1975.56,12.40,14.00,22.00,3.66,0,146.48,1.27,32.2
115,871.73,4204.07,67.09,11.09,92.30,0.56,470.14,8.00,49.35,4.11,1382.24,202.16,4334.04,92.21,4.01,337.50,30.86,944.21,7.21,13.21,15.00,15.99,0,206.14,0.40,33.0
116,1356.52,4889.35,42.43,6.75,87.95,4.27,2628.37,18.00,142.44,53.45,1762.22,140.07,4437.05,41.10,8.56,1120.38,99.89,4531.65,58.90,7.04,80.00,21.56,0,100.77,1.33,37.5
117,1030.93,4158.64,35.61,23.35,93.52,3.38,139.44,7.00,101.00,9.68,1369.66,211.54,3798.08,51.29,6.51,237.30,20.32,3628.11,48.03,8.69,32.00,13.06,0,49.32,3.07,32.9
118,1904.34,7333.44,44.04,12.27,77.34,2.76,3398.71,43.00,61.29,40.66,1687.79,156.12,6640.70,58.30,10.08,977.47,83.88,4395.11,41.70,9.22,82.00,6.38,0,122.06,0.20,28.2
119,1349.89,3997.00,49.12,1.93,93.02,1.63,2984.61,13.00,96.72,41.95,1739.07,108.60,5492.05,53.81,9.31,1710.46,131.36,5473.28,46.19,11.00,81.00,5.40,0,149.82,4.20,26.1
120,1646.60,4849.28,38.87,29.10,86.31,2.65,1697.51,69.00,67.13,20.82,1927.90,144.40,4919.77,79.53,6.05,1339.17,91.56,2369.86,20.13,9.29,31.00,10.49,13,108.04,5.41,21.8
121,1823.75,7780.71,38.35,9.32,75.09,1.67,3896.91,18.00,47.81,41.91,2303.75,143.77,7926.98,75.21,9.72,1825.58,96.23,4532.24,24.79,15.61,90.00,8.37,0,112.58,2.14,18.3
122,1235.54,4138.88,63.63,12.85,91.60,0.88,1865.93,7.00,124.69,27.11,1261.86,119.52,4676.81,60.20,6.98,1349.23,119.38,3888.33,39.71,9.37,74.00,4.26,0,104.50,0.67,22.7
123,915.13,4152.05,78.77,15.55,83.56,0.01,47.23,16.00,0.43,0.04,1084.97,239.50,3288.07,99.96,2.75,32.65,0.50,32.65,0.04,69.90,1.00,21.57,1,110.38,7.01,27.1
124,2259.92,9253.88,35.76,4.55,65.73,2.10,5113.26,34.00,96.46,51.30,1948.95,139.11,6768.45,65.98,8.95,1708.59,100.26,5015.15,33.96,12.13,96.00,8.18,0,94.96,0.87,18.4
125,1721.25,6671.79,48.15,17.75,84.28,3.86,2725.59,0.00,61.59,34.16,1855.28,157.02,7504.98,73.31,8.67,1116.29,82.98,3331.57,26.69,10.79,100.00,10.53,1,164.70,1.20,20.8
126,771.87,3295.81,28.05,49.55,79.13,1.06,2294.44,28.00,23.19,28.80,1099.16,186.48,4160.96,67.23,5.37,501.98,53.52,2558.73,32.77,8.03,41.00,16.04,0,176.58,8.54,19.1
127,1138.59,5021.60,9.93,55.31,59.28,0.96,3566.14,48.00,92.09,39.78,2435.93,184.01,8564.14,72.72,9.92,923.70,55.99,4093.78,27.28,12.92,50.00,10.47,0,135.94,0.27,20.1
128,1772.87,9346.17,35.47,8.68,78.24,2.93,3955.87,27.00,4.37,36.61,1828.70,216.88,6586.43,51.32,11.21,365.30,23.12,4623.11,48.68,9.40,50.00,6.39,0,12.88,0.53,34.4
129,1382.28,7549.13,50.43,14.37,78.63,2.46,70.25,5.00,32.33,2.69,1620.29,228.36,5623.79,86.98,5.37,187.15,11.64,1785.22,13.02,15.18,18.00,8.96,3,96.96,0.87,27.7
130,1066.95,4837.96,43.42,21.23,91.45,2.10,2327.86,21.00,70.30,34.73,1364.00,160.13,4978.90,77.84,5.66,922.66,79.87,2273.24,22.16,7.99,23.00,9.19,0,134.87,12.08,39.6
131,820.95,3433.92,64.01,19.96,97.50,1.74,173.47,7.00,37.90,3.44,704.92,165.96,2964.02,60.66,3.96,494.03,74.04,2259.38,39.34,5.53,23.00,9.54,0,140.67,1.00,35.3
132,2113.36,9461.71,29.72,7.04,76.81,4.50,4767.38,42.00,132.93,65.54,1727.52,149.74,6528.12,63.67,8.70,1216.36,90.26,4508.44,36.33,10.59,50.00,11.45,0,85.42,1.40,34.8
133,1897.58,8650.39,42.41,7.58,79.40,4.33,5256.63,44.00,97.92,57.89,1386.09,96.90,5686.38,53.58,9.61,1397.40,143.10,4924.10,46.42,9.38,65.00,5.37,0,64.13,2.80,29.9
